The Shawshank Redemption,Malcolm Johnson,Hartford Courant,8.75,2024-3-4,"Next to Stand By Me, The Shawshank Redemption ranks as the strongest, purest film ever made from a novel or novella by Stephen King, a monster film where the horrors are frighteningly human."
The Shawshank Redemption,William Arnold,Seattle Post-Intelligencer,6.25,2024-3-4,"The acting is so strong, so seductive in The Shawshank Redemption that you almost don't notice this epic prison drama isn't all that good."
The Shawshank Redemption,Michael Wilmington,Chicago Tribune,8.75,2024-3-4,"The Shawshank Redemption may be working with stuff we've seen before, but it's surprisingly strong and engrossing. Even elitists in the audience who dismiss King as a shock schlockmeister may be amazed at this picture's narrative grip."
The Shawshank Redemption,Jeff Simon,Buffalo News,8.0,2024-3-4,"It's a movie with dignity and surprises and before it has finished, it has acquired a good deal of power."
The Shawshank Redemption,Jack Mathews,Newsday,7.5,2024-3-4,"You've never seen a prison movie quite like it, and I found its eccentric rhythms and the performances of co-stars Tim Robbins and Morgan Freeman nearly irresistible."
The Shawshank Redemption,Gary Thompson,Philadelphia Daily News,7.5,2024-3-4,Even the most prosecutorial viewer will concede that Robbins and Freeman give The Shawshank Redemption a persuasive validity. They hold The Shawshank Redemption together as it gives way to story-driven melodrama.
The Shawshank Redemption,Desmond Ryan,Philadelphia Inquirer,6.25,2024-3-4,"A work of sincerity and honorable purpose, with a first-class cast... [But] Darabont has not found a way to resolve the problems and improbabilities that tower higher than the walls of the maximum security prison."
The Shawshank Redemption,Frank Bruni,Detroit Free Press,7.5,2024-3-4,"It's a blissfully old-fashioned melodrama spanning three decades, a classic tall tale that experiences some particularly incredible growth spurts toward the end but manages to endure them without alienating the viewer."
The Shawshank Redemption,Rene Rodriguez,Miami Herald,6.25,2024-3-4,"It's way too long, blatantly manipulative, and sentimental to a fault. Still, the lead performances by Tim Robbins and Morgan Freeman are heartfelt, impressively shaded pieces of work (Freeman in particular is a marvel)."
The Godfather,Matt Brunson,Film Frenzy,10.0,2022-3-26,A cultural milestone.
The Godfather,Stephen Silver,Tilt Magazine,10.0,2022-3-25,"The Godfather is as much about America, and the American experience, as any other great movie is (50th anniversary)"
The Godfather,Victoria Luxford,City AM,10.0,2022-3-11,"An engrossing metaphor for American capitalism, watching the film on the big screen emphasises the majesty of Coppolas work."
The Godfather,Brian Viner,Daily Mail (UK),10.0,2022-2-25,The Godfather justifies every minute of its extravagant running time.
The Godfather,Danny Leigh,Financial Times,10.0,2022-2-24,"As the doomy burnish of Gordon Willis’s photography captures the darkened souls of the Corleones, the effect is flat-out mesmeric."
The Godfather,Brian Eggert,Deep Focus Review,10.0,2022-2-20,"Five decades later, The Godfather still resonates with the paradigm shifts from one generation to the next, still influences one filmmaker after another, and continues to be the foundation of a lasting mythology."
The Godfather,David Gonzalez,The Cinematic Reel,10.0,2022-2-18,The Godfather is a rarity in film as every element off and on screen work here.
The Godfather,Adam Kempenaar,Filmspotting,10.0,2022-2-10,There is simply not a character introduced or exchange of words or looks that doesn't inform or add.
The Godfather,James Wegg,JWR,9.0,2022-1-17,"Marlon Brando gives a bravura, dusty-voice performance in the title role as the Sicilian who harvests favours from all comers, only to ask them to be paid back."
The Dark Knight,Juan Pablo Russo,EscribiendoCine,10.0,2024-3-11,"With a memorable performance from Heath Ledger, masterful direction from Nolan, and bold storytelling, this film stands out as one of the best comic book adaptations in film history. [Full Review in Spanish]"
The Dark Knight,Brian Eggert,Deep Focus Review,10.0,2022-3-21,"An incomparable crime thriller and superhero film, and an instant classic in both genres"
